File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,Unnamed: 14
"w2,7_h3,1_ts500_phic_1ml,min_100fps_13",,,,,,,,,,,,,,
,2.7,3.1,,1,100,287,525,1424,2.38,8.99,39.66666667,0,permanent,
,2.7,3.1,,2,100,1424,1631,2227,2.07,5.96,34.5,99.33333333,temp,
,2.7,3.1,,3,100,2227,2558,3059,3.31,5.01,55.16666667,83.5,temp,
,2.7,3.1,,4,100,3059,3092,4209,0.33,11.17,5.5,186.1666667,A partial arch first formed and induced a full arch,
,2.7,3.1,,5,100,4209,4921,4950,7.12,0.29,118.6666667,4.833333333,temp,
,2.7,3.1,,6,100,4950,5262,5347,3.12,0.85,52,14.16666667,temp,
,2.7,3.1,,7,100,5347,5437,5550,0.9,1.13,15,18.83333333,temp,
,2.7,3.1,,8,100,5550,5850,7362,3,15.12,50,0,permanent,
,2.7,3.1,,9,100,7362,7508,8446,1.46,9.38,24.33333333,0,permanent,
,2.7,3.1,,10,100,8446,8459,9168,0.13,7.09,2.166666667,0,permanent,
,2.7,3.1,,11,100,9168,9239,,0.71,,11.83333333,0,video ended,
