File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,Unnamed: 14
"w2,7_h3,1_ts500_phic_1ml,min_100fps_3",,,,,,,,,,,,,,
,2.7,3.1,,1,100,246,533,1498,2.87,9.65,47.83333333,0,permanent,
,2.7,3.1,,2,100,1498,1821,2623,3.23,8.02,53.83333333,0,permanent,
,2.7,3.1,,3,100,2623,2696,2705,0.73,0.09,12.16666667,0,temp,
,2.7,3.1,,4,100,2705,2803,2847,0.98,0.44,16.33333333,7.333333333,temp,
,2.7,3.1,,5,100,2847,3062,4237,2.15,11.75,35.83333333,0,permanent,
,2.7,3.1,,6,100,4237,4580,5511,3.43,9.31,57.16666667,0,permanent,
,2.7,3.1,,7,100,5511,5746,5771,2.35,0.25,39.16666667,4.166666667,temp,
,2.7,3.1,,8,100,5771,5936,5950,1.65,0.14,27.5,0,temp,
,2.7,3.1,,9,100,5950,6072,6083,1.22,0.11,20.33333333,0,temp,
,2.7,3.1,,10,100,6083,6273,7254,1.9,9.81,31.66666667,0,permanent,
,2.7,3.1,,11,100,7254,7317,7352,0.63,0.35,10.5,5.833333333,temp,
,2.7,3.1,,12,100,7352,7425,8299,0.73,8.74,12.16666667,0,"permanent, a few granules leaked",
,2.7,3.1,,13,100,8299,8655,8696,3.56,0.41,59.33333333,6.833333333,temp,
,2.7,3.1,,14,100,8696,8775,9634,0.79,8.59,13.16666667,0,permanent,
,2.7,3.1,,15,100,9634,9761,9799,1.27,0.38,21.16666667,6.333333333,partial arch,
,2.7,3.1,,16,100,9799,10110,10185,3.11,0.75,51.83333333,12.5,temp,
,2.7,3.1,,17,100,10185,10278,10291,0.93,0.13,15.5,0,temp,
,2.7,3.1,,18,100,10291,10334,10346,0.43,0.12,7.166666667,0,temp,
,2.7,3.1,,19,100,10346,10543,11397,1.97,8.54,32.83333333,142.3333333,a few granules leaked,
,2.7,3.1,,20,100,11397,11451,11789,0.54,3.38,9,56.33333333,temp,
,2.7,3.1,,21,100,11789,11934,11942,1.45,0.08,24.16666667,0,very short,
,2.7,3.1,,22,100,11942,12453,12487,5.11,0.34,85.16666667,5.666666667,temp,
,2.7,3.1,,23,100,12487,12727,13640,2.4,9.13,40,0,permanent,
,2.7,3.1,,24,100,13640,13665,14346,0.25,6.81,4.166666667,0,permanent,
,2.7,3.1,,25,100,14346,14356,15000,0.1,6.44,1.666666667,0,"permanent. Hexagonal closepacked structure appeared, builds a strong arch (upper right corner on the picture to the right)",
,2.7,3.1,,26,100,15000,15067,15176,0.67,1.09,11.16666667,18.16666667,"temp A second (unstable) arch formed immidiately after the manual breakdown of the last one, also keeps the hexagonal closepacked structure",
,2.7,3.1,,27,100,15176,15220,15275,0.44,0.55,7.333333333,9.166666667,"temp A third unstable arch formed immediately, with the same structure",
,2.7,3.1,,28,100,15275,15451,15498,1.76,0.47,29.33333333,7.833333333,"temp A forth arch. The closepacked structure seems to have three main effects: 1. It separates the particles into clear layers, which decreases the degrees of freedom. 2. It can somehow induce more closepacked structures to form. 3. It makes the incoming granules come in orders, which increases the chance of having multiple granules to reach the constrain at the same time.",
,2.7,3.1,,29,100,15498,16003,17110,5.05,11.07,84.16666667,0,permanent. The hexagonal structure can still be seen,
,2.7,3.1,,30,100,17110,17166,17782,0.56,6.16,9.333333333,0,"permanent. The hexagonal structure can still be seen, and this structure does not breakdown easily even with manual impacts.",
,2.7,3.1,,31,100,17782,17789,18174,0.07,3.85,1.166666667,0,permanent. The hexagonal structure can still be seen,
,2.7,3.1,,32,100,18174,18291,18361,1.17,0.7,19.5,11.66666667,temp The hexagonal structure can still be seen,
,2.7,3.1,,33,100,18361,18516,18592,1.55,0.76,25.83333333,12.66666667,temp The hexagonal structure can still be seen,
,2.7,3.1,,34,100,18592,18843,19211,2.51,3.68,41.83333333,61.33333333,temp The hexagonal structure can still be seen,
,2.7,3.1,,35,100,19211,19247,,0.36,,6,0,"video ended. The hexagonal shape can still be seen, but a bit distorted.",
