File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,Unnamed: 14
"w2,7_h3,1_ts500_phic_1ml,min_100fps_8",,,,,,,,,,,,,,
,2.7,3.1,,1,100,214,484,532,2.7,0.48,45,8,temp,
,2.7,3.1,,2,100,532,586,1327,0.54,7.41,9,0,permanent,
,2.7,3.1,,3,100,1327,1922,1959,5.95,0.37,99.16666667,6.166666667,temp,
,2.7,3.1,,4,100,1959,2430,2486,4.71,0.56,78.5,9.333333333,temp,
,2.7,3.1,,5,100,2486,2563,3319,0.77,7.56,12.83333333,126,temp,
,2.7,3.1,,6,100,3319,3348,4255,0.29,9.07,4.833333333,0,permanent,
,2.7,3.1,,7,100,4255,4368,5419,1.13,10.51,18.83333333,0,"permanent, a partial arch first formed and induced a full arch",
,2.7,3.1,,8,100,5419,5670,5959,2.51,2.89,41.83333333,48.16666667,temp,
,2.7,3.1,,9,100,5959,5998,6846,0.39,8.48,6.5,0,permanent,
,2.7,3.1,,10,100,6846,6974,7860,1.28,8.86,21.33333333,0,"permanent, a partial arch first formed and induced a full arch",
,2.7,3.1,,11,100,7860,8294,8478,4.34,1.84,72.33333333,30.66666667,temp,
,2.7,3.1,,12,100,8478,8743,9502,2.65,7.59,44.16666667,126.5,temp,
,2.7,3.1,,13,100,9502,9829,11100,3.27,12.71,54.5,0,permanent,
,2.7,3.1,,14,100,11100,11156,12024,0.56,8.68,9.333333333,0,permanent,
,2.7,3.1,,15,100,12024,12057,12095,0.33,0.38,5.5,6.333333333,temp,
,2.7,3.1,,16,100,12095,12622,13900,5.27,12.78,87.83333333,0,permanent. A few granules leaked,
,2.7,3.1,,17,100,13900,14159,14242,2.59,0.83,43.16666667,13.83333333,temp,
,2.7,3.1,,18,100,14242,14548,14640,3.06,0.92,51,15.33333333,temp,
,2.7,3.1,,19,100,14640,14759,15730,1.19,9.71,19.83333333,0,permanent,
,2.7,3.1,,20,100,15730,15846,16731,1.16,8.85,19.33333333,0,permanent,
,2.7,3.1,,21,100,16731,16750,17711,0.19,9.61,3.166666667,0,permanent,
,2.7,3.1,,22,100,17711,18302,18351,5.91,0.49,98.5,8.166666667,temp,
,2.7,3.1,,23,100,18351,18668,18740,3.17,0.72,52.83333333,12,temp partial arch,
,2.7,3.1,,24,100,18740,19512,21155,7.72,16.43,128.6666667,0,permanent,
,2.7,3.1,,25,100,21155,21802,,6.47,,107.8333333,0,video ended,
